algorithm,level,k,query_type,run_id,struct_id,assignment,estimated_cost,estimated_latency,estimated_energy,estimated_qoa,is_pareto,time_s
MOQO,0,1,History,1,0,"(3,)",8.544e-06,12.556612,8.768877999999999,0.08,True,1.3000929355621338
MOQO,0,1,History,1,0,"(1,)",7.161e-06,19.53,13.738704000000002,0.354,True,1.3000929355621338
MOQO,0,1,History,1,0,"(0,)",3.7938e-06,21.0377645,13.6679785,0.059,True,1.3000929355621338
MOQO,0,1,History,2,0,"(0,)",3.7938e-06,21.0377645,13.6679785,0.059,True,1.3000540733337402
MOQO,0,1,History,2,0,"(3,)",8.544e-06,12.556612,8.768877999999999,0.08,True,1.3000540733337402
MOQO,0,1,History,2,0,"(4,)",1.204e-05,7.8428735,10.9213797,0.1,True,1.3000540733337402
MOQO,0,1,History,2,0,"(1,)",7.161e-06,19.53,13.738704000000002,0.354,True,1.3000540733337402
DP+Delta,0,1,Music,0,0,"(0,)",3.6062e-06,19.9658784,12.971587199999998,0.059,True,0.0065038204193115234
DP+Delta,0,1,Music,0,0,"(1,)",6.8145000000000006e-06,18.585,13.073928,0.354,True,0.0065038204193115234
DP+Delta,0,1,Music,0,0,"(2,)",9.26e-06,17.999955,13.5,0.03,False,0.0065038204193115234
DP+Delta,0,1,Music,0,0,"(3,)",9.126e-06,12.3073968,8.5948392,0.08,True,0.0065038204193115234
DP+Delta,0,1,Music,0,0,"(4,)",1.1357e-05,7.4114855,10.3206621,0.1,True,0.0065038204193115234
MOQO,0,1,Music,0,0,"(3,)",9.126e-06,12.3073968,8.5948392,0.08,True,1.3002407550811768
MOQO,0,1,Music,0,0,"(4,)",1.1357e-05,7.4114855,10.3206621,0.1,True,1.3002407550811768
MOQO,0,1,Music,0,0,"(0,)",3.6062e-06,19.9658784,12.971587199999998,0.059,True,1.3002407550811768
MOQO,0,1,Music,0,0,"(1,)",6.8145000000000006e-06,18.585,13.073928,0.354,True,1.3002407550811768
MOQO,0,1,Music,1,0,"(4,)",1.1357e-05,7.4114855,10.3206621,0.1,True,1.3002119064331055
MOQO,0,1,Music,1,0,"(3,)",9.126e-06,12.3073968,8.5948392,0.08,True,1.3002119064331055
MOQO,0,1,Music,1,0,"(1,)",6.8145000000000006e-06,18.585,13.073928,0.354,True,1.3002119064331055
MOQO,0,1,Music,1,0,"(0,)",3.6062e-06,19.9658784,12.971587199999998,0.059,True,1.3002119064331055
MOQO,0,1,Music,2,0,"(0,)",3.6062e-06,19.9658784,12.971587199999998,0.059,True,1.3001248836517334
MOQO,0,1,Music,2,0,"(3,)",9.126e-06,12.3073968,8.5948392,0.08,True,1.3001248836517334
MOQO,0,1,Music,2,0,"(4,)",1.1357e-05,7.4114855,10.3206621,0.1,True,1.3001248836517334
MOQO,0,1,Music,2,0,"(1,)",6.8145000000000006e-06,18.585,13.073928,0.354,True,1.3001248836517334
DP+Delta,0,1,Other,0,0,"(0,)",3.6952e-06,20.4298291,13.2730103,0.059,True,0.0066089630126953125
DP+Delta,0,1,Other,0,0,"(1,)",6.9355e-06,18.915,13.306072,0.354,True,0.0066089630126953125
DP+Delta,0,1,Other,0,0,"(2,)",9.262e-06,18.1999545,13.65,0.03,False,0.0066089630126953125
